Name,2005,2006,2007,2008,2009,2010,2011,2012
0500000US01001,6.2,5.6,5.6,6.0,5.7,5.8,6.9,6.3
0500000US01003,9.0,8.4,8.4,9.1,8.6,8.7,10.4,9.3
0500000US01005,5.4,5.0,5.1,5.6,5.5,6.1,7.4,6.4
0500000US01007,5.1,4.8,4.7,5.2,5.0,5.0,6.1,5.5
0500000US01009,4.8,4.4,4.4,4.8,4.6,4.6,5.5,5.0
0500000US01011,5.3,5.2,5.2,5.8,6.1,6.5,7.9,7.0
0500000US01013,5.4,5.2,5.2,5.7,5.3,5.5,6.9,6.0
0500000US01015,4.9,4.5,4.5,4.9,4.8,4.7,5.9,5.3
0500000US01017,5.9,5.4,5.5,5.7,5.7,6.0,7.7,7.0
0500000US01019,4.4,4.1,4.1,4.6,4.5,4.4,5.3,4.8
0500000US01021,4.7,4.4,4.3,4.7,4.4,4.5,5.6,5.0
0500000US01023,4.5,4.5,4.5,4.9,4.9,5.0,5.6,5.1
0500000US01025,5.0,4.7,4.7,5.1,4.6,4.6,5.5,5.1
0500000US01027,4.2,3.8,3.6,3.9,3.8,4.0,5.2,4.7
0500000US01029,4.9,4.6,4.6,5.0,4.7,4.9,5.8,5.1
0500000US01031,5.6,5.2,5.1,5.7,5.9,6.0,7.5,6.7
0500000US01033,4.8,4.5,4.5,5.0,4.8,4.9,5.8,5.4
0500000US01035,5.6,5.3,5.3,6.1,6.1,6.3,7.6,6.9
0500000US01037,5.5,5.2,5.0,5.5,5.3,5.4,6.4,6.0
0500000US01039,5.8,5.5,5.3,5.8,5.7,5.9,7.2,6.4
0500000US01041,4.7,4.5,4.4,4.9,4.9,5.1,6.4,5.6
0500000US01043,4.2,3.8,3.8,4.1,3.7,3.6,4.3,3.9
0500000US01045,5.4,5.0,4.9,5.6,5.6,5.9,7.3,6.5
0500000US01047,5.1,4.8,4.7,5.1,4.6,4.8,5.8,5.2
0500000US01049,4.2,3.9,3.8,4.3,3.9,4.0,4.9,4.6
0500000US01051,6.1,5.8,5.8,6.2,6.2,6.5,8.0,7.1
0500000US01053,5.4,5.1,5.0,5.6,5.6,5.6,7.0,6.2
0500000US01055,5.0,4.6,4.5,5.0,4.8,4.9,5.8,5.2
0500000US01057,4.2,3.9,3.9,4.2,4.0,3.9,4.9,4.6
0500000US01059,3.9,3.7,3.5,3.9,3.7,3.8,4.6,4.1
0500000US01061,5.4,5.1,5.1,5.5,5.5,5.8,7.2,6.4
0500000US01063,5.6,5.5,5.6,6.3,6.4,6.3,7.4,6.7
0500000US01065,5.4,5.4,5.4,5.9,5.8,5.9,7.0,6.3
0500000US01067,5.1,5.0,5.0,5.4,5.6,6.0,7.4,6.6
0500000US01069,5.7,5.2,5.2,5.6,5.6,5.7,7.1,6.3
0500000US01071,4.3,4.0,4.0,4.6,4.2,4.3,5.2,4.8
0500000US01073,6.8,6.4,6.4,7.0,6.5,6.6,7.8,7.1
0500000US01075,3.8,3.5,3.4,3.8,3.5,3.5,4.3,3.9
0500000US01077,4.7,4.4,4.4,4.9,4.8,4.8,5.9,5.3
0500000US01079,3.7,3.4,3.4,3.7,3.5,3.5,4.2,3.8
0500000US01081,6.8,6.5,6.5,7.3,7.2,7.5,9.4,8.3
0500000US01083,4.6,4.2,4.3,4.7,4.4,4.5,5.4,4.9
0500000US01085,5.8,5.6,5.4,6.1,5.8,6.0,7.4,6.8
0500000US01087,6.1,5.9,6.0,6.6,6.4,7.0,8.5,7.8
0500000US01089,6.2,5.8,5.8,6.4,6.4,6.3,7.3,6.8
0500000US01091,5.3,5.1,5.2,5.5,5.0,5.1,6.2,5.5
0500000US01093,4.0,3.7,3.6,4.0,3.7,3.8,4.5,4.1
0500000US01095,5.2,4.9,4.8,5.4,5.2,5.3,6.3,5.7
0500000US01097,7.5,7.1,6.9,7.7,7.3,7.3,8.8,7.7
0500000US01099,4.9,4.6,4.4,4.9,4.6,4.5,5.5,5.1
0500000US01101,7.2,6.7,6.7,7.4,7.5,7.7,9.3,8.4
0500000US01103,5.3,4.8,4.9,5.4,5.1,5.2,6.1,5.6
0500000US01105,5.4,5.2,5.3,5.9,5.7,5.8,7.1,6.5
0500000US01107,4.2,4.0,4.0,4.3,4.1,4.2,5.1,4.5
0500000US01109,6.0,5.7,5.8,6.6,6.7,7.1,8.9,7.8
0500000US01111,5.7,5.4,5.1,5.7,5.3,5.5,7.1,6.4
0500000US01113,4.8,4.3,4.3,4.7,4.9,5.0,6.4,5.5
0500000US01115,5.2,5.0,5.0,5.3,5.0,5.2,6.1,5.6
0500000US01117,6.5,6.2,6.2,6.9,6.8,6.9,8.4,7.6
0500000US01119,5.5,5.4,5.5,6.1,6.0,6.2,7.1,6.5
0500000US01121,5.2,4.9,4.9,5.3,5.2,5.4,6.5,5.9
0500000US01123,5.7,5.3,5.2,5.5,5.4,5.6,7.2,6.5
0500000US01125,6.3,6.0,6.1,6.8,6.5,6.7,7.8,7.0
0500000US01127,4.1,3.8,3.8,4.3,4.0,3.9,4.7,4.3
0500000US01129,4.7,4.4,4.2,4.7,4.4,4.3,5.1,4.5
0500000US01131,5.1,5.2,5.3,6.1,5.7,5.9,7.3,6.7
0500000US01133,4.2,4.0,4.1,4.4,3.9,4.3,5.2,4.7
0500000US02013,12.1,12.7,13.9,13.0,14.7,15.2,15.9,15.5
0500000US02016,12.0,12.4,13.5,13.0,12.8,13.7,14.0,13.4
0500000US02020,7.0,7.1,7.8,7.5,7.9,8.2,8.8,8.3
0500000US02050,6.2,6.4,7.2,7.2,7.6,8.0,8.5,7.8
0500000US02060,9.9,10.1,10.8,11.2,12.8,13.2,14.0,13.2
0500000US02068
0500000US02070,6.5,6.9,7.7,7.8,8.6,9.0,9.4,9.0
0500000US02090,8.0,8.3,9.3,8.7,9.1,9.5,10.0,9.2
0500000US02100,10.3,10.7,11.9,11.5,12.2,12.5,13.3,12.4
0500000US02105
0500000US02110,9.1,9.3,10.1,9.5,9.9,10.4,10.7,10.0
0500000US02122,8.9,8.9,9.9,9.2,9.6,10.0,10.6,10.0
0500000US02130
0500000US02150,9.1,9.4,10.6,10.3,11.1,11.5,12.2,11.6
0500000US02164,8.1,8.4,9.3,9.3,10.0,10.2,10.9,10.3
0500000US02170,8.3,8.5,9.4,8.8,9.1,9.3,9.9,9.3
0500000US02180,6.1,6.2,7.1,7.3,7.7,7.8,8.2,7.6
0500000US02185,6.7,7.1,8.1,8.7,9.5,9.4,9.9,9.2
