Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0500000US01001,32.29,33.25,34.17,34.98,36.61,36.83,37.88,38.2,37.45,37.98,38.79
0500000US01003,28.35,29.18,29.91,30.83,30.16,31.23,31.74,31.96,33.0,33.44,33.9
0500000US01005,42.8,43.44,44.0,45.26,47.09,49.35,50.28,49.64,51.29,50.55,51.62
0500000US01007,38.58,39.48,39.5,40.71,40.86,42.61,45.03,44.33,43.71,44.57,45.2
0500000US01009,30.45,31.65,32.29,32.59,34.89,37.02,37.89,38.96,40.7,41.42,41.56
0500000US01011,51.05,51.69,52.02,53.94,55.61,54.62,55.63,54.81,55.57,55.33,56.05
0500000US01013,41.79,42.39,43.32,44.9,44.42,45.06,45.36,48.65,50.3,50.51,50.28
0500000US01015,33.73,34.57,35.42,35.92,37.79,38.52,40.0,40.02,40.41,41.43,41.39
0500000US01017,37.9,38.95,39.69,40.11,40.95,43.21,43.74,45.36,46.4,47.98,47.68
0500000US01019,34.61,35.42,36.27,36.51,37.92,38.86,40.85,39.15,40.01,40.91,41.72
0500000US01021,35.15,36.0,36.52,37.92,39.08,39.71,41.83,42.05,43.45,44.12,44.26
0500000US01023,40.55,41.86,43.14,44.85,45.39,45.22,46.84,49.0,48.45,48.52,49.86
0500000US01025,40.06,40.43,41.08,42.46,44.51,44.96,45.68,46.05,46.36,46.1,46.61
0500000US01027,36.52,37.4,38.45,39.25,40.92,40.83,42.77,43.97,44.6,45.25,45.37
0500000US01029,35.06,35.55,36.63,37.58,38.8,37.99,39.35,41.04,40.36,40.94,41.26
0500000US01031,34.12,34.41,35.23,38.7,40.09,39.48,40.63,40.78,38.79,39.8,39.67
0500000US01033,34.44,35.5,36.04,36.73,37.92,38.05,38.24,40.06,40.5,41.31,41.57
0500000US01035,40.16,41.18,41.98,43.09,44.21,44.68,44.09,47.69,48.46,48.69,49.47
0500000US01037,39.5,40.9,41.16,41.86,43.3,43.37,45.52,46.53,46.31,47.02,48.43
0500000US01039,33.65,34.08,35.06,36.77,35.3,37.14,37.6,38.16,39.28,39.43,40.31
0500000US01041,39.94,40.26,41.16,43.68,43.94,43.6,44.22,45.86,44.43,44.81,44.82
0500000US01043,29.97,31.15,31.85,32.85,34.75,36.29,36.09,38.36,39.84,40.21,40.48
0500000US01045,35.13,35.99,36.75,39.81,40.82,42.14,42.17,42.9,42.95,43.6,44.13
0500000US01047,44.98,46.42,47.19,49.26,53.84,53.77,53.22,53.78,55.48,55.88,56.22
0500000US01049,32.49,33.31,34.2,34.84,36.6,36.82,37.67,38.89,40.39,40.61,40.95
0500000US01051,32.68,33.54,34.44,34.78,35.9,35.59,37.89,38.55,38.6,38.78,39.31
0500000US01053,35.27,36.82,37.42,39.1,39.84,42.02,41.88,43.0,42.81,43.79,44.11
0500000US01055,33.18,33.81,34.58,34.89,36.92,36.9,37.11,37.35,38.25,38.86,39.55
0500000US01057,36.78,38.16,38.31,40.57,40.83,40.11,38.89,41.74,42.39,44.17,43.86
0500000US01059,36.58,38.2,38.43,39.38,38.71,36.96,38.56,39.08,38.56,38.94,39.11
0500000US01061,37.6,37.65,38.43,40.09,40.19,41.66,41.18,41.44,41.57,42.09,43.16
0500000US01063,47.39,48.57,49.41,52.31,55.05,54.51,55.57,56.35,56.28,56.98,58.03
0500000US01065,43.83,44.86,45.6,48.17,51.22,50.8,52.93,54.71,54.55,54.61,55.48
0500000US01067,40.29,41.09,41.92,43.19,42.6,44.42,44.66,45.35,46.49,46.92,47.44
0500000US01069,34.83,35.67,36.55,37.65,37.69,38.7,39.78,39.6,40.45,40.86,41.2
0500000US01071,33.59,34.5,35.23,35.59,36.12,36.57,36.99,38.88,38.8,39.69,39.83
0500000US01073,32.98,34.05,34.98,36.19,37.7,38.95,40.68,42.37,42.7,43.34,43.76
0500000US01075,36.15,36.75,37.48,38.61,36.6,36.93,36.23,36.66,36.95,37.81,38.32
0500000US01077,32.53,33.97,34.56,34.69,34.42,34.66,33.73,36.59,37.59,38.55,38.85
0500000US01079,36.25,37.08,37.8,39.34,40.03,40.38,41.56,44.5,44.91,45.66,46.07
0500000US01081,31.6,32.5,33.4,33.45,35.27,36.09,36.48,36.7,38.57,39.06,39.49
0500000US01083,32.22,33.23,34.08,34.6,35.01,36.35,36.47,37.64,39.92,40.46,40.91
0500000US01085,48.2,49.46,50.43,52.35,53.41,53.26,53.41,54.76,54.78,55.4,55.29
0500000US01087,47.75,48.65,49.55,50.91,52.19,50.93,52.08,53.44,54.11,53.45,53.85
0500000US01089,30.74,31.81,32.81,32.65,33.39,34.69,34.78,36.56,36.79,37.48,38.01
0500000US01091,40.01,40.62,41.34,42.53,46.59,46.57,46.83,48.61,49.73,50.05,50.59
0500000US01093,36.89,37.45,37.7,38.64,36.25,35.95,36.07,36.17,37.57,37.96,39.15
0500000US01095,30.65,31.52,32.18,32.32,34.35,36.09,35.89,36.68,37.87,38.33,38.74
0500000US01097,35.7,36.73,37.67,38.52,38.99,38.61,38.99,40.41,40.97,41.71,42.05
0500000US01099,38.33,39.18,39.72,41.18,42.78,44.3,45.33,47.9,48.27,49.34,49.73
0500000US01101,36.46,37.48,38.5,39.32,41.51,42.8,43.23,44.37,44.13,44.59,45.12
0500000US01103,30.01,31.08,32.05,31.95,33.68,36.54,36.8,37.68,39.54,39.62,40.37
0500000US01105,49.04,49.69,49.42,51.49,54.03,53.56,54.34,56.01,56.34,57.9,57.36
0500000US01107,40.94,41.43,42.28,44.77,45.37,45.02,44.27,46.39,47.74,47.57,48.27
0500000US01109,39.75,40.57,41.14,43.24,45.9,46.68,47.05,46.13,46.0,46.71,46.49
0500000US01111,37.51,38.13,38.81,39.89,40.33,40.11,41.97,40.71,42.82,43.87,43.97
0500000US01113,41.48,42.57,43.47,43.91,44.18,45.79,46.31,47.08,47.46,48.5,48.28
0500000US01115,31.8,32.7,33.43,34.12,35.29,37.76,39.79,40.58,41.48,41.8,42.86
0500000US01117,26.7,27.56,28.3,28.64,29.27,29.69,31.42,31.68,31.55,32.26,32.38
0500000US01119,48.67,49.27,50.26,52.15,52.89,51.68,52.6,51.83,53.33,53.19,54.78
0500000US01121,39.33,40.46,41.44,41.25,42.45,42.8,44.46,46.69,46.9,47.81,48.7
0500000US01123,35.0,36.09,36.6,37.1,38.99,40.02,42.25,43.38,44.33,44.79,45.24
0500000US01125,32.8,33.65,34.56,36.37,39.29,39.42,40.08,41.08,41.99,42.24,43.03
0500000US01127,35.49,36.25,36.97,39.27,40.92,41.19,42.18,42.23,40.96,42.33,42.46
0500000US01129,39.05,40.2,41.04,43.2,42.44,43.04,45.06,46.53,45.58,45.92,46.19
0500000US01131,49.14,49.93,50.67,52.42,54.62,54.72,54.71,56.51,56.37,57.46,57.84
0500000US01133,37.28,37.63,38.52,40.78,39.46,39.19,39.38,41.42,41.81,41.55,41.95
0500000US02013,33.81,34.09,35.88,34.43,36.22,37.74,40.74,42.16,36.94,37.75,37.76
0500000US02016,31.07,31.99,33.28,32.4,31.21,32.2,35.46,38.39,35.69,36.01,36.23
0500000US02020,31.27,32.44,33.58,32.78,34.82,35.79,34.87,35.4,35.98,36.56,36.67
0500000US02050,45.32,46.81,47.94,48.84,50.78,50.46,49.54,51.1,50.08,50.76,51.22
