Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0500000US01001,30.67,31.61,32.52,32.94,33.23,33.81,33.6,35.12,35.94,36.55,37.1
0500000US01003,27.83,28.75,29.63,30.71,30.78,30.65,31.96,31.41,32.36,32.88,33.47
0500000US01005,32.31,33.12,34.04,35.61,37.26,39.73,40.88,40.72,40.28,40.99,41.51
0500000US01007,35.03,35.84,36.55,37.57,38.83,38.88,39.34,39.1,39.45,40.05,40.65
0500000US01009,30.41,31.43,32.5,34.36,34.2,36.08,36.67,37.48,37.25,37.8,38.37
0500000US01011,36.66,37.55,38.31,38.59,39.69,40.18,40.2,38.91,40.62,41.25,41.9
0500000US01013,31.69,32.48,33.32,34.59,35.28,36.66,37.56,38.2,38.57,39.2,39.81
0500000US01015,32.51,33.44,34.37,34.53,36.08,37.14,38.38,37.24,36.93,37.41,37.96
0500000US01017,33.53,34.48,35.36,36.97,37.4,38.06,38.57,39.55,39.48,40.0,40.68
0500000US01019,32.74,33.7,34.66,35.83,36.5,39.14,39.87,39.83,38.29,38.9,39.47
0500000US01021,32.11,32.96,33.73,34.75,35.67,36.42,37.51,38.44,40.43,41.08,41.84
0500000US01023,32.99,34.04,35.07,35.17,36.56,36.94,37.65,39.07,40.07,40.72,41.25
0500000US01025,33.78,34.66,35.56,36.56,37.14,37.73,39.28,39.92,40.44,41.16,41.77
0500000US01027,32.03,32.99,33.96,35.2,34.81,36.92,38.0,38.15,37.86,38.54,39.22
0500000US01029,33.01,33.86,34.91,35.52,35.97,38.19,39.0,38.1,36.26,36.85,37.39
0500000US01031,29.45,30.25,31.16,33.49,34.86,35.88,37.95,38.03,37.84,38.37,39.05
0500000US01033,30.28,31.2,32.08,33.41,33.86,36.17,36.27,38.64,38.97,39.59,40.23
0500000US01035,33.14,34.24,35.07,36.04,36.99,38.54,37.92,38.19,39.3,39.99,40.58
0500000US01037,32.18,33.19,33.99,35.75,35.84,37.7,39.93,40.88,40.43,41.05,41.58
0500000US01039,31.19,31.98,32.82,34.53,35.41,37.5,39.28,39.43,39.7,40.33,40.9
0500000US01041,33.36,33.93,34.68,36.08,36.8,38.1,39.84,40.03,39.42,40.07,40.62
0500000US01043,27.6,28.6,29.5,31.07,30.94,33.32,34.59,36.47,36.18,36.75,37.36
0500000US01045,28.26,29.12,30.0,32.3,34.27,36.53,38.22,38.79,37.9,38.47,39.08
0500000US01047,34.77,35.88,36.79,37.1,37.6,38.75,38.82,38.28,38.87,39.46,39.99
0500000US01049,30.69,31.62,32.57,34.39,34.49,37.12,38.47,39.2,37.72,38.3,38.87
0500000US01051,29.44,30.4,31.35,32.81,32.7,33.84,35.08,36.78,35.7,36.33,36.9
0500000US01053,34.49,35.6,36.47,37.07,36.72,38.15,37.89,38.83,40.37,40.98,41.63
0500000US01055,31.29,32.16,33.0,33.7,34.01,35.89,35.74,36.9,36.88,37.48,38.11
0500000US01057,32.63,33.54,34.29,35.27,36.14,37.15,37.96,40.12,40.85,41.66,42.35
0500000US01059,31.43,32.33,33.11,33.77,34.16,35.63,36.21,37.56,37.18,37.78,38.4
0500000US01061,31.34,32.09,32.97,34.76,36.52,38.66,40.15,41.01,40.17,40.82,41.36
0500000US01063,36.65,37.71,38.92,40.45,41.11,42.35,43.72,42.66,42.59,43.24,43.82
0500000US01065,36.03,37.15,38.11,39.61,39.75,40.66,42.55,43.38,42.27,42.92,43.5
0500000US01067,30.88,31.71,32.59,34.51,37.13,39.01,40.31,40.0,39.49,40.17,40.8
0500000US01069,28.6,29.44,30.29,31.94,34.5,35.95,38.4,39.07,38.32,38.88,39.51
0500000US01071,30.89,31.82,32.61,34.72,35.46,35.81,36.82,36.75,36.62,37.17,37.78
0500000US01073,27.9,28.75,29.54,30.21,31.42,31.43,31.97,31.5,32.45,32.91,33.49
0500000US01075,30.95,31.73,32.49,33.35,34.91,37.14,38.9,39.39,39.18,39.73,40.3
0500000US01077,27.74,28.74,29.68,31.94,32.56,33.25,32.59,33.8,33.72,34.32,34.95
0500000US01079,31.2,32.02,32.89,33.59,34.02,36.4,38.03,39.52,39.26,39.91,40.55
0500000US01081,28.98,29.88,30.83,32.9,33.83,33.92,34.91,36.09,35.16,35.7,36.31
0500000US01083,30.12,31.08,32.03,32.82,34.52,35.42,37.08,37.65,37.82,38.46,39.07
0500000US01085,34.92,35.79,36.74,37.1,37.91,38.79,39.2,39.84,40.3,40.93,41.56
0500000US01087,35.5,36.38,37.24,37.83,38.0,38.34,38.88,38.64,38.5,39.24,39.87
0500000US01089,26.23,27.15,28.05,29.99,31.29,32.22,33.8,34.03,32.91,33.4,33.98
0500000US01091,34.52,35.31,36.09,36.89,37.12,38.26,38.91,40.54,40.45,41.2,41.86
0500000US01093,30.38,31.27,32.11,32.94,33.33,34.36,36.33,37.35,37.79,38.31,38.89
0500000US01095,29.01,29.94,30.78,33.96,33.72,35.18,36.08,36.33,36.02,36.61,37.24
0500000US01097,28.84,29.74,30.63,31.13,32.23,32.17,33.66,34.87,36.61,37.33,38.07
0500000US01099,33.8,34.65,35.49,36.59,36.97,37.19,36.57,36.3,37.79,38.39,38.97
0500000US01101,30.2,31.11,32.03,32.82,34.38,34.82,34.8,35.59,35.62,36.1,36.58
0500000US01103,27.89,28.79,29.7,31.7,32.4,34.87,36.61,37.59,37.18,37.77,38.34
0500000US01105,36.54,37.34,37.97,38.53,39.21,39.34,40.18,40.97,41.55,42.0,42.66
0500000US01107,32.24,33.09,34.03,35.12,37.1,38.41,39.54,39.33,40.5,41.21,41.8
0500000US01109,31.73,32.58,33.38,34.79,35.99,37.41,37.7,36.93,37.59,38.24,39.03
0500000US01111,33.9,34.7,35.47,36.69,36.72,38.45,38.37,38.69,39.01,39.61,40.24
0500000US01113,34.28,35.14,35.96,36.67,37.69,38.99,39.09,39.77,40.17,40.74,41.32
0500000US01115,33.59,34.52,35.41,36.4,35.5,36.95,37.46,37.32,36.48,37.13,37.66
0500000US01117,26.11,26.99,27.78,28.67,29.71,31.2,32.38,34.25,35.8,36.42,37.17
0500000US01119,34.6,35.29,36.27,37.07,38.5,39.14,39.72,38.62,39.91,40.54,41.05
0500000US01121,33.06,34.06,35.07,36.16,36.37,37.87,39.29,38.36,38.82,39.39,39.97
0500000US01123,31.27,32.27,33.17,34.95,34.04,36.02,37.47,37.82,36.36,36.93,37.54
0500000US01125,30.9,31.79,32.69,34.11,35.54,36.18,36.64,37.25,36.12,36.69,37.18
0500000US01127,29.56,30.41,31.25,32.09,32.3,33.61,35.25,37.59,37.76,38.33,39.02
0500000US01129,31.49,32.46,33.41,33.91,34.65,34.62,36.23,38.4,39.28,39.92,40.58
0500000US01131,37.06,37.85,38.62,39.31,39.74,40.33,40.37,41.35,40.79,41.32,41.9
0500000US01133,30.49,31.33,32.25,32.62,32.2,33.84,36.26,38.19,37.21,37.91,38.5
0500000US02013,24.96,25.97,27.05,27.65,29.54,29.61,32.48,33.04,28.73,29.27,29.72
0500000US02016,25.8,26.8,27.74,27.48,28.42,28.87,30.43,32.15,29.69,30.25,30.7
