Name,2009,2010,2011,2012,2013,2014,2015,2016,2017
0500000US01001,14.0,13.6,13.9,12.8,13.4,11.0,9.4,8.5,8.7
0500000US01003,16.6,19.1,16.6,15.8,17.4,16.1,11.5,10.7,11.3
0500000US01005,17.9,18.5,18.9,17.5,17.5,15.3,13.3,12.5,12.2
0500000US01007,17.8,17.7,16.0,15.1,15.1,13.6,11.9,9.7,10.2
0500000US01009,17.8,19.3,18.1,18.3,17.6,16.5,14.0,12.1,13.4
0500000US01011,19.4,16.2,15.7,17.5,18.8,17.3,14.5,13.2,11.4
0500000US01013,17.9,17.1,16.4,16.6,15.7,14.4,12.2,10.7,11.2
0500000US01015,15.5,16.1,16.9,15.3,16.0,14.2,11.4,11.2,11.9
0500000US01017,18.7,18.8,17.9,16.0,16.8,14.9,13.3,10.7,11.9
0500000US01019,17.8,18.8,17.2,16.7,16.5,14.6,11.7,11.9,11.2
0500000US01021,19.3,20.0,20.2,19.2,19.2,17.7,15.2,14.2,13.8
0500000US01023,18.3,17.9,17.6,16.1,16.0,14.3,11.8,11.3,11.3
0500000US01025,16.8,16.6,18.4,17.0,15.8,15.1,12.6,11.4,11.9
0500000US01027,18.0,18.8,19.2,18.8,19.3,17.8,14.4,13.4,13.9
0500000US01029,17.9,17.6,16.7,16.0,16.7,14.3,12.1,11.9,13.3
0500000US01031,15.6,18.1,17.3,16.0,16.7,15.0,11.9,10.8,12.0
0500000US01033,16.2,14.7,15.0,14.3,14.5,13.0,10.6,9.7,9.7
0500000US01035,16.8,18.6,19.0,18.2,18.4,16.6,14.7,12.8,12.0
0500000US01037,16.1,16.8,16.1,16.7,17.4,15.5,13.5,13.3,13.0
0500000US01039,18.7,17.5,17.7,17.3,17.0,15.4,12.3,12.3,12.1
0500000US01041,18.4,18.9,19.2,16.4,16.7,16.3,12.8,11.5,12.3
0500000US01043,18.8,18.9,17.9,18.1,18.8,16.4,14.1,12.8,12.7
0500000US01045,16.3,14.9,15.6,14.7,14.9,13.8,11.5,11.0,9.7
0500000US01047,16.7,16.1,15.9,14.5,14.4,14.3,12.1,10.4,10.4
0500000US01049,20.4,23.5,23.3,21.7,22.9,20.9,17.6,16.6,17.3
0500000US01051,14.2,14.3,14.0,13.2,12.3,11.5,9.3,8.5,8.7
0500000US01053,18.9,19.5,19.3,19.6,18.7,17.0,15.5,13.2,14.4
0500000US01055,17.2,18.3,16.9,16.7,16.1,14.6,12.0,11.5,12.5
0500000US01057,16.7,16.9,15.9,15.4,15.5,14.6,11.9,10.8,11.5
0500000US01059,19.9,23.2,21.0,20.1,20.4,19.9,16.4,13.1,15.3
0500000US01061,20.0,19.7,18.4,19.0,19.4,17.2,15.7,14.1,14.1
0500000US01063,17.2,18.1,17.7,16.0,17.1,15.1,12.1,11.1,11.4
0500000US01065,17.9,16.6,19.1,16.1,16.2,14.0,12.1,11.2,10.6
0500000US01067,17.7,18.3,17.4,16.7,17.1,15.1,13.5,11.7,12.2
0500000US01069,16.8,16.7,16.2,16.4,15.9,13.5,11.7,11.1,11.1
0500000US01071,16.7,18.6,18.4,17.1,17.9,15.7,13.8,12.6,13.1
0500000US01073,14.3,16.1,15.1,14.5,14.6,12.6,11.3,9.9,10.0
0500000US01075,17.6,17.3,16.8,16.9,16.0,14.0,12.6,11.1,11.5
0500000US01077,16.1,15.2,15.2,16.3,15.0,13.7,11.2,9.9,11.3
0500000US01079,18.1,19.0,17.7,18.2,18.1,16.1,13.6,14.0,14.0
0500000US01081,15.6,15.8,16.8,15.3,16.1,13.4,11.5,10.5,10.4
0500000US01083,15.6,16.7,16.4,16.0,16.0,14.4,12.1,11.1,11.0
0500000US01085,17.2,17.0,17.4,15.5,15.5,14.4,12.0,11.4,10.8
0500000US01087,16.8,16.4,15.7,15.3,15.9,13.0,10.8,10.4,10.6
0500000US01089,12.8,14.1,15.0,13.7,13.6,12.5,10.3,8.8,9.4
0500000US01091,17.9,16.8,17.6,15.2,15.6,13.3,10.8,10.1,9.8
0500000US01093,17.9,17.3,17.3,15.8,16.2,15.4,13.0,11.4,11.4
0500000US01095,18.7,21.5,21.5,18.6,21.8,18.8,15.5,13.7,15.6
0500000US01097,17.3,18.6,18.6,17.7,16.5,14.9,13.0,12.4,11.7
0500000US01099,17.1,18.4,18.4,16.5,18.4,17.7,14.2,12.3,12.8
0500000US01101,13.9,15.8,16.5,15.4,15.3,13.9,12.2,11.1,11.0
0500000US01103,15.5,18.9,18.5,16.9,17.3,16.1,13.7,11.2,11.6
0500000US01105,17.0,17.0,19.6,16.2,15.9,15.3,12.7,11.3,11.5
0500000US01107,16.5,17.4,17.6,16.5,17.0,14.3,12.5,11.7,11.6
0500000US01109,17.1,17.6,20.3,18.0,17.5,15.2,13.8,12.8,12.9
0500000US01111,19.1,18.2,18.7,18.2,18.8,16.8,13.7,12.0,13.2
0500000US01113,18.1,17.4,17.7,16.6,17.1,14.8,11.3,10.8,11.3
0500000US01115,17.0,15.2,15.9,15.3,14.4,13.4,11.5,9.4,10.0
0500000US01117,10.3,12.3,12.1,11.3,12.1,10.6,8.4,7.4,7.9
0500000US01119,20.1,18.8,17.9,17.2,17.3,16.7,12.5,12.9,11.4
0500000US01121,15.7,16.2,15.7,14.7,14.6,13.5,11.2,9.8,10.3
0500000US01123,17.0,17.3,15.7,16.0,16.1,14.3,12.0,10.7,11.9
0500000US01125,13.9,17.5,14.9,15.2,15.2,12.2,9.8,9.2,9.3
0500000US01127,17.6,16.7,16.8,15.8,16.0,15.2,12.8,11.5,11.7
0500000US01129,15.8,19.0,18.2,17.7,16.1,15.1,12.1,13.1,13.9
0500000US01131,19.2,17.6,22.0,18.0,17.5,16.3,12.3,10.5,10.5
0500000US01133,17.9,19.3,18.1,17.7,16.8,16.3,12.6,12.9,12.8
0500000US02013,36.7,41.2,46.0,41.6,40.1,39.3,37.4,33.5,27.9
0500000US02016,31.5,31.3,35.5,29.3,27.7,25.2,21.8,22.3,20.2
0500000US02020,19.9,18.4,18.3,19.8,18.1,16.7,13.6,12.9,12.7
0500000US02050,30.3,27.8,28.7,29.6,27.8,26.0,24.6,23.9,19.8
0500000US02060,27.4,22.1,22.8,24.1,22.9,21.7,21.7,22.9,17.4
0500000US02068,21.7,19.5,19.3,23.1,22.3,20.9,19.1,14.5,14.0
0500000US02070,31.3,29.9,29.9,29.0,27.3,25.4,23.3,20.9,17.4
0500000US02090,20.6,20.3,21.1,21.1,18.7,16.6,14.1,13.6,13.2
0500000US02100,27.8,28.9,28.2,31.1,30.3,24.5,22.1,20.5,18.0
0500000US02105,34.4,34.7,32.4,33.7,33.4,29.7,24.4,25.3,22.9
0500000US02110,19.0,19.3,20.4,18.8,17.2,17.4,14.3,13.1,13.4
0500000US02122,25.5,23.6,23.0,24.5,23.1,20.9,18.9,17.9,16.0
0500000US02130,25.0,23.3,25.9,24.7,22.9,21.1,18.8,16.6,17.2
0500000US02150,28.8,28.1,29.6,27.7,26.8,24.8,21.0,21.7,18.4
0500000US02164,39.5,33.9,35.9,33.7,31.5,30.0,31.9,28.0,25.3
0500000US02170,23.6,21.2,21.7,21.7,20.8,18.5,16.7,15.7,14.8
0500000US02180,31.3,29.3,28.8,28.4,29.3,27.4,24.0,21.5,21.2
0500000US02185,27.7,25.2,24.1,25.4,25.5,23.3,18.1,19.6,17.8
0500000US02188,30.6,28.9,29.2,30.2,29.7,27.8,25.5,24.0,24.1
0500000US02195,26.5,24.7,24.2,26.4,25.4,20.4,18.0,21.4,18.7
0500000US02198,28.0,34.0,32.4,31.4,32.4,27.7,25.2,24.3,23.2
0500000US02220,25.7,26.3,25.3,25.3,24.5,24.2,20.0,19.7,18.3
0500000US02230,21.5,24.3,25.3,25.7,26.0,19.5,16.8,14.7,14.1
0500000US02240,29.3,27.5,27.1,29.7,27.5,24.4,21.7,21.4,21.1
0500000US02261,24.6,25.0,24.4,24.8,22.8,20.3,18.6,17.0,14.9
